date,ALLSKY_SFC_SW_DWN,T2M,RH2M,ALLSKY_KT,lat,lon
2024-01-01,4.2127,25.39,94.52,0.47,7.250792737060687,125.43741689857494
2024-01-02,3.0144,25.57,95.95,0.34,7.250792737060687,125.43741689857494
2024-01-03,4.4232,26.52,86.65,0.49,7.250792737060687,125.43741689857494
2024-01-04,5.8291,25.87,88.66,0.65,7.250792737060687,125.43741689857494
2024-01-05,6.2942,25.61,84.83,0.7,7.250792737060687,125.43741689857494
2024-01-06,3.3626,25.74,91.47,0.37,7.250792737060687,125.43741689857494
2024-01-07,5.2685,26.13,88.98,0.58,7.250792737060687,125.43741689857494
2024-01-08,3.9072,26.32,89.99,0.43,7.250792737060687,125.43741689857494
2024-01-09,3.373,26.33,89.72,0.37,7.250792737060687,125.43741689857494
2024-01-10,5.0638,27.01,84.83,0.56,7.250792737060687,125.43741689857494
2024-01-11,5.4799,26.06,85.92,0.6,7.250792737060687,125.43741689857494
2024-01-12,3.3787,25.98,86.94,0.37,7.250792737060687,125.43741689857494
2024-01-13,4.6238,25.55,86.29,0.51,7.250792737060687,125.43741689857494
2024-01-14,4.0013,24.97,87.66,0.44,7.250792737060687,125.43741689857494
2024-01-15,3.4716,25.39,93.79,0.38,7.250792737060687,125.43741689857494
2024-01-16,2.6138,24.88,94.78,0.28,7.250792737060687,125.43741689857494
2024-01-17,3.7764,25.52,88.99,0.41,7.250792737060687,125.43741689857494
2024-01-18,0.5866,25.12,93.67,0.06,7.250792737060687,125.43741689857494
2024-01-19,3.8599,25.41,89.44,0.42,7.250792737060687,125.43741689857494
2024-01-20,3.8635,24.76,90.56,0.42,7.250792737060687,125.43741689857494
2024-01-21,5.5692,25.13,88.11,0.6,7.250792737060687,125.43741689857494
2024-01-22,4.9116,25.27,88.56,0.53,7.250792737060687,125.43741689857494
2024-01-23,4.4458,24.22,91.49,0.48,7.250792737060687,125.43741689857494
2024-01-24,5.7098,24.79,88.05,0.61,7.250792737060687,125.43741689857494
2024-01-25,5.1168,24.34,86.23,0.55,7.250792737060687,125.43741689857494
2024-01-26,3.5777,24.46,88.1,0.38,7.250792737060687,125.43741689857494
2024-01-27,5.4564,23.23,87.03,0.58,7.250792737060687,125.43741689857494
2024-01-28,3.9324,23.67,91.52,0.42,7.250792737060687,125.43741689857494
2024-01-29,1.0255,24.38,93.2,0.11,7.250792737060687,125.43741689857494
2024-01-30,1.2396,25.21,93.41,0.13,7.250792737060687,125.43741689857494
2024-01-31,0.5102,25.15,94.84,0.05,7.250792737060687,125.43741689857494
2024-02-01,3.6672,25.1,94.09,0.39,7.250792737060687,125.43741689857494
2024-02-02,3.9526,25.75,90.59,0.41,7.250792737060687,125.43741689857494
2024-02-03,5.4043,25.52,87.02,0.57,7.250792737060687,125.43741689857494
2024-02-04,3.9869,25.58,88.49,0.42,7.250792737060687,125.43741689857494
2024-02-05,5.0527,24.89,85.89,0.53,7.250792737060687,125.43741689857494
2024-02-06,4.1587,24.05,91.55,0.43,7.250792737060687,125.43741689857494
2024-02-07,4.147,25.08,90.46,0.43,7.250792737060687,125.43741689857494
2024-02-08,4.5338,26.19,87.14,0.47,7.250792737060687,125.43741689857494
2024-02-09,4.2307,25.21,86.93,0.44,7.250792737060687,125.43741689857494
2024-02-10,5.2807,24.82,86.14,0.54,7.250792737060687,125.43741689857494
2024-02-11,4.5778,24.83,86.39,0.47,7.250792737060687,125.43741689857494
2024-02-12,5.2994,24.13,83.38,0.54,7.250792737060687,125.43741689857494
2024-02-13,4.9754,24.59,86.16,0.51,7.250792737060687,125.43741689857494
2024-02-14,5.6275,24.94,85.13,0.57,7.250792737060687,125.43741689857494
2024-02-15,6.2825,24.33,81.65,0.64,7.250792737060687,125.43741689857494
2024-02-16,4.2307,24.22,84.66,0.43,7.250792737060687,125.43741689857494
2024-02-17,5.3678,25.28,86.14,0.54,7.250792737060687,125.43741689857494
2024-02-18,4.4287,25.36,86.74,0.45,7.250792737060687,125.43741689857494
2024-02-19,4.9778,24.45,84.98,0.5,7.250792737060687,125.43741689857494
2024-02-20,6.5136,25.2,84.38,0.66,7.250792737060687,125.43741689857494
2024-02-21,4.519,25.79,86.59,0.45,7.250792737060687,125.43741689857494
2024-02-22,3.769,25.12,92.13,0.38,7.250792737060687,125.43741689857494
2024-02-23,3.9101,26.57,85.44,0.39,7.250792737060687,125.43741689857494
2024-02-24,5.298,25.58,85.32,0.53,7.250792737060687,125.43741689857494
2024-02-25,5.4929,25.29,85.11,0.55,7.250792737060687,125.43741689857494
2024-02-26,5.3446,24.79,86.34,0.53,7.250792737060687,125.43741689857494
2024-02-27,4.0603,24.82,84.2,0.4,7.250792737060687,125.43741689857494
2024-02-28,3.0727,24.14,88.81,0.3,7.250792737060687,125.43741689857494
2024-02-29,3.6098,25.71,87.29,0.36,7.250792737060687,125.43741689857494
2024-03-01,4.1453,25.9,86.53,0.41,7.250792737060687,125.43741689857494
2024-03-02,5.118,25.32,82.83,0.5,7.250792737060687,125.43741689857494
2024-03-03,6.0552,24.52,82.11,0.6,7.250792737060687,125.43741689857494
2024-03-04,5.2814,25.09,84.43,0.52,7.250792737060687,125.43741689857494
2024-03-05,5.4768,26.37,83.5,0.54,7.250792737060687,125.43741689857494
2024-03-06,5.0717,26.45,82.39,0.5,7.250792737060687,125.43741689857494
2024-03-07,6.6626,25.2,82.47,0.65,7.250792737060687,125.43741689857494
2024-03-08,5.1614,24.81,82.14,0.5,7.250792737060687,125.43741689857494
2024-03-09,5.6261,24.42,82.73,0.55,7.250792737060687,125.43741689857494
2024-03-10,5.3544,24.43,83.95,0.52,7.250792737060687,125.43741689857494
2024-03-11,6.2772,25.37,81.09,0.61,7.250792737060687,125.43741689857494
2024-03-12,4.2761,25.97,86.49,0.41,7.250792737060687,125.43741689857494
2024-03-13,4.9714,25.12,83.48,0.48,7.250792737060687,125.43741689857494
2024-03-14,5.029,25.29,84.91,0.49,7.250792737060687,125.43741689857494
2024-03-15,6.1109,25.46,83.4,0.59,7.250792737060687,125.43741689857494
2024-03-16,6.139,25.9,82.81,0.59,7.250792737060687,125.43741689857494
2024-03-17,6.5021,25.43,82.8,0.63,7.250792737060687,125.43741689857494
2024-03-18,6.6434,24.85,82.8,0.64,7.250792737060687,125.43741689857494
2024-03-19,6.1164,25.55,82.23,0.59,7.250792737060687,125.43741689857494
2024-03-20,5.8298,26.02,80.88,0.56,7.250792737060687,125.43741689857494
2024-03-21,4.9018,25.71,82.37,0.47,7.250792737060687,125.43741689857494
2024-03-22,6.0094,25.58,82.77,0.58,7.250792737060687,125.43741689857494
2024-03-23,6.3674,25.61,82.51,0.61,7.250792737060687,125.43741689857494
2024-03-24,5.0014,25.73,82.94,0.48,7.250792737060687,125.43741689857494
2024-03-25,5.7338,26.96,85.16,0.55,7.250792737060687,125.43741689857494
2024-03-26,5.3513,27.82,80.98,0.51,7.250792737060687,125.43741689857494
2024-03-27,5.3695,27.27,80.77,0.51,7.250792737060687,125.43741689857494
2024-03-28,4.7983,26.71,85.43,0.46,7.250792737060687,125.43741689857494
2024-03-29,4.3577,26.64,85.19,0.42,7.250792737060687,125.43741689857494
2024-03-30,6.4584,26.37,82.95,0.62,7.250792737060687,125.43741689857494
2024-03-31,5.394,26.52,82.53,0.52,7.250792737060687,125.43741689857494
2024-04-01,6.2911,25.94,81.71,0.6,7.250792737060687,125.43741689857494
2024-04-02,5.915,26.24,80.47,0.56,7.250792737060687,125.43741689857494
2024-04-03,6.4906,26.0,81.67,0.62,7.250792737060687,125.43741689857494
2024-04-04,4.8516,26.37,85.77,0.46,7.250792737060687,125.43741689857494
2024-04-05,4.8602,26.67,83.52,0.46,7.250792737060687,125.43741689857494
2024-04-06,3.7366,26.07,84.57,0.36,7.250792737060687,125.43741689857494
2024-04-07,6.0593,25.57,82.85,0.58,7.250792737060687,125.43741689857494
2024-04-08,5.8723,24.86,81.97,0.56,7.250792737060687,125.43741689857494
2024-04-09,5.9959,26.48,83.63,0.57,7.250792737060687,125.43741689857494
2024-04-10,4.5149,26.35,83.15,0.43,7.250792737060687,125.43741689857494
2024-04-11,6.967,26.07,79.98,0.67,7.250792737060687,125.43741689857494
2024-04-12,6.5266,26.17,81.56,0.62,7.250792737060687,125.43741689857494
2024-04-13,6.1411,26.59,79.92,0.59,7.250792737060687,125.43741689857494
2024-04-14,6.2069,26.85,80.85,0.59,7.250792737060687,125.43741689857494
2024-04-15,5.3122,26.89,83.44,0.51,7.250792737060687,125.43741689857494
2024-04-16,4.6858,26.5,85.8,0.45,7.250792737060687,125.43741689857494
2024-04-17,5.7437,27.14,82.53,0.55,7.250792737060687,125.43741689857494
2024-04-18,6.7159,27.54,80.42,0.64,7.250792737060687,125.43741689857494
2024-04-19,6.1322,26.61,80.49,0.59,7.250792737060687,125.43741689857494
2024-04-20,5.8776,25.93,82.69,0.56,7.250792737060687,125.43741689857494
2024-04-21,2.3791,26.29,89.87,0.23,7.250792737060687,125.43741689857494
2024-04-22,6.1145,27.93,80.93,0.59,7.250792737060687,125.43741689857494
2024-04-23,5.5277,27.29,85.5,0.53,7.250792737060687,125.43741689857494
2024-04-24,5.3424,27.57,80.43,0.51,7.250792737060687,125.43741689857494
2024-04-25,6.9938,27.85,78.21,0.67,7.250792737060687,125.43741689857494
2024-04-26,5.0407,27.96,80.92,0.48,7.250792737060687,125.43741689857494
2024-04-27,5.2728,27.38,83.63,0.51,7.250792737060687,125.43741689857494
2024-04-28,5.969,27.48,81.76,0.57,7.250792737060687,125.43741689857494
2024-04-29,4.0699,26.1,92.37,0.39,7.250792737060687,125.43741689857494
2024-04-30,2.8942,27.04,88.46,0.28,7.250792737060687,125.43741689857494
2024-05-01,5.9719,28.22,79.94,0.58,7.250792737060687,125.43741689857494
2024-05-02,5.9203,27.71,80.55,0.57,7.250792737060687,125.43741689857494
