pipeline,model,tuning_method,objective_metric,target,target_unit,features,Hyperparameter,Sampling Range / Options,Selection Method
spatial_rooftop,AdaBoost (Baseline),Optuna TPE,mean_validation_RMSE_J,effective_GHI_J,J/m2/day,"lat,lon,azimuth,orientation_score,shading_factor,SEI_norm,clear_sky_ratio,sunshine_hours",n_estimators,50-300,Sampled by Optuna TPE per trial
spatial_rooftop,AdaBoost (Baseline),Optuna TPE,mean_validation_RMSE_J,effective_GHI_J,J/m2/day,"lat,lon,azimuth,orientation_score,shading_factor,SEI_norm,clear_sky_ratio,sunshine_hours",learning_rate,0.01-2.00 log scale,Sampled by Optuna TPE per trial
spatial_rooftop,AdaBoost (Baseline),Optuna TPE,mean_validation_RMSE_J,effective_GHI_J,J/m2/day,"lat,lon,azimuth,orientation_score,shading_factor,SEI_norm,clear_sky_ratio,sunshine_hours",max_depth,1-5,Sampled by Optuna TPE per trial
spatial_rooftop,AdaBoost (Baseline),Optuna TPE,mean_validation_RMSE_J,effective_GHI_J,J/m2/day,"lat,lon,azimuth,orientation_score,shading_factor,SEI_norm,clear_sky_ratio,sunshine_hours",min_samples_split,2 (fixed default; not sampled),Fixed
spatial_rooftop,AdaBoost (Baseline),Optuna TPE,mean_validation_RMSE_J,effective_GHI_J,J/m2/day,"lat,lon,azimuth,orientation_score,shading_factor,SEI_norm,clear_sky_ratio,sunshine_hours",min_samples_leaf,1 (fixed default; not sampled),Fixed
spatial_rooftop,AdaBoost (Baseline),Optuna TPE,mean_validation_RMSE_J,effective_GHI_J,J/m2/day,"lat,lon,azimuth,orientation_score,shading_factor,SEI_norm,clear_sky_ratio,sunshine_hours",loss,"linear (fixed default; sklearn options: linear, square, exponential)",Fixed
spatial_rooftop,AdaBoost (Baseline),Optuna TPE,mean_validation_RMSE_J,effective_GHI_J,J/m2/day,"lat,lon,azimuth,orientation_score,shading_factor,SEI_norm,clear_sky_ratio,sunshine_hours",random_state,42,Fixed for reproducibility
spatial_rooftop,AdaBoost (Baseline),Optuna TPE,mean_validation_RMSE_J,effective_GHI_J,J/m2/day,"lat,lon,azimuth,orientation_score,shading_factor,SEI_norm,clear_sky_ratio,sunshine_hours",Number of trials,100,Fixed
spatial_rooftop,AdaBoost (Baseline),Optuna TPE,mean_validation_RMSE_J,effective_GHI_J,J/m2/day,"lat,lon,azimuth,orientation_score,shading_factor,SEI_norm,clear_sky_ratio,sunshine_hours",Validation method,5-fold KFold,Fixed
spatial_rooftop,FI-AdaBoost (Proposed),Optuna TPE,mean_validation_RMSE_J,effective_GHI_J,J/m2/day,"lat,lon,azimuth,orientation_score,shading_factor,SEI_norm,clear_sky_ratio,sunshine_hours",n_estimators,50-300,Sampled by Optuna TPE per trial
spatial_rooftop,FI-AdaBoost (Proposed),Optuna TPE,mean_validation_RMSE_J,effective_GHI_J,J/m2/day,"lat,lon,azimuth,orientation_score,shading_factor,SEI_norm,clear_sky_ratio,sunshine_hours",learning_rate,0.01-2.00 log scale,Sampled by Optuna TPE per trial
spatial_rooftop,FI-AdaBoost (Proposed),Optuna TPE,mean_validation_RMSE_J,effective_GHI_J,J/m2/day,"lat,lon,azimuth,orientation_score,shading_factor,SEI_norm,clear_sky_ratio,sunshine_hours",max_depth,1-6,Sampled by Optuna TPE per trial
spatial_rooftop,FI-AdaBoost (Proposed),Optuna TPE,mean_validation_RMSE_J,effective_GHI_J,J/m2/day,"lat,lon,azimuth,orientation_score,shading_factor,SEI_norm,clear_sky_ratio,sunshine_hours",min_samples_split,2 (fixed default; not sampled),Fixed
spatial_rooftop,FI-AdaBoost (Proposed),Optuna TPE,mean_validation_RMSE_J,effective_GHI_J,J/m2/day,"lat,lon,azimuth,orientation_score,shading_factor,SEI_norm,clear_sky_ratio,sunshine_hours",min_samples_leaf,1 (fixed default; not sampled),Fixed
spatial_rooftop,FI-AdaBoost (Proposed),Optuna TPE,mean_validation_RMSE_J,effective_GHI_J,J/m2/day,"lat,lon,azimuth,orientation_score,shading_factor,SEI_norm,clear_sky_ratio,sunshine_hours",loss,custom FI-modulated loss,Fixed
spatial_rooftop,FI-AdaBoost (Proposed),Optuna TPE,mean_validation_RMSE_J,effective_GHI_J,J/m2/day,"lat,lon,azimuth,orientation_score,shading_factor,SEI_norm,clear_sky_ratio,sunshine_hours",random_state,42,Fixed for reproducibility
spatial_rooftop,FI-AdaBoost (Proposed),Optuna TPE,mean_validation_RMSE_J,effective_GHI_J,J/m2/day,"lat,lon,azimuth,orientation_score,shading_factor,SEI_norm,clear_sky_ratio,sunshine_hours",Number of trials,100,Fixed
spatial_rooftop,FI-AdaBoost (Proposed),Optuna TPE,mean_validation_RMSE_J,effective_GHI_J,J/m2/day,"lat,lon,azimuth,orientation_score,shading_factor,SEI_norm,clear_sky_ratio,sunshine_hours",Validation method,5-fold KFold,Fixed
daily_temporal,"AdaBoost (Daily, Temporal Split)",Optuna TPE,mean_validation_RMSE_J,GHI_J,J/m2/day,"month_sin,month_cos,season,T2M,RH2M,ALLSKY_KT,clear_sky_ratio,sunshine_hours,mean_orientation_score,mean_shading_factor,mean_SEI_norm",n_estimators,50-300,Sampled by Optuna TPE per trial
daily_temporal,"AdaBoost (Daily, Temporal Split)",Optuna TPE,mean_validation_RMSE_J,GHI_J,J/m2/day,"month_sin,month_cos,season,T2M,RH2M,ALLSKY_KT,clear_sky_ratio,sunshine_hours,mean_orientation_score,mean_shading_factor,mean_SEI_norm",learning_rate,0.01-2.00 log scale,Sampled by Optuna TPE per trial
daily_temporal,"AdaBoost (Daily, Temporal Split)",Optuna TPE,mean_validation_RMSE_J,GHI_J,J/m2/day,"month_sin,month_cos,season,T2M,RH2M,ALLSKY_KT,clear_sky_ratio,sunshine_hours,mean_orientation_score,mean_shading_factor,mean_SEI_norm",max_depth,1-5,Sampled by Optuna TPE per trial
daily_temporal,"AdaBoost (Daily, Temporal Split)",Optuna TPE,mean_validation_RMSE_J,GHI_J,J/m2/day,"month_sin,month_cos,season,T2M,RH2M,ALLSKY_KT,clear_sky_ratio,sunshine_hours,mean_orientation_score,mean_shading_factor,mean_SEI_norm",min_samples_split,2 (fixed default; not sampled),Fixed
daily_temporal,"AdaBoost (Daily, Temporal Split)",Optuna TPE,mean_validation_RMSE_J,GHI_J,J/m2/day,"month_sin,month_cos,season,T2M,RH2M,ALLSKY_KT,clear_sky_ratio,sunshine_hours,mean_orientation_score,mean_shading_factor,mean_SEI_norm",min_samples_leaf,1 (fixed default; not sampled),Fixed
