model,n_estimators,max_depth,learning_rate,cv_rmse,cv_mae,cv_r2
Baseline,50,4,0.5,410.43812670180074,292.04828962903684,0.9744635958205775
Baseline,50,4,1.0,434.6233667362109,330.942074286367,0.9716340857693245
Baseline,100,4,0.5,502.73157357718486,410.1823073145246,0.9613964165359118
Baseline,100,4,1.0,537.5753188924863,451.8490036897385,0.9561228902534052
Baseline,50,3,1.0,620.2301377485765,496.84836722042974,0.9406848959527574
Baseline,50,3,0.5,666.908727454319,442.32700080193507,0.9326274949173564
Baseline,100,3,1.0,690.2713597441798,588.7802553856396,0.9225665423372879
Baseline,100,3,0.5,710.9490005331276,560.721004620037,0.9234913915944949
FI-AdaBoost,100,4,,352.84136476380996,254.47469753410246,0.9804459377902401
FI-AdaBoost,150,4,,456.70948661010306,375.18794979761833,0.9655565175745425
FI-AdaBoost,100,3,,699.2261798713056,574.7134185315329,0.9270520206752044
FI-AdaBoost,150,3,,831.3402862113439,726.6074155108296,0.896412223299814
